id,waktu,hari,idlampu,status
1,1,1,1,0
2,2,1,1,0
3,3,1,1,0
4,4,1,1,0
5,5,1,1,0
6,6,1,1,0
7,7,1,1,0
8,8,1,1,0
9,9,1,1,0
10,10,1,1,0
11,11,1,1,0
12,12,1,1,0
13,13,1,1,0
14,14,1,1,0
15,15,1,1,0
16,16,1,1,0
17,17,1,1,0
18,18,1,1,0
19,19,1,1,0
20,20,1,1,0
21,21,1,1,0
22,22,1,1,0
23,23,1,1,0
24,24,1,1,0
25,25,1,1,0
26,26,1,1,0
27,27,1,1,0
28,28,1,1,0
29,29,1,1,0
30,30,1,1,0
31,31,1,1,0
32,32,1,1,0
33,33,1,1,0
34,34,1,1,0
35,35,1,1,0
36,36,1,1,0
37,37,1,1,0
38,38,1,1,0
39,39,1,1,0
40,40,1,1,0
41,41,1,1,0
42,42,1,1,0
43,43,1,1,0
44,44,1,1,0
45,45,1,1,0
46,46,1,1,0
47,47,1,1,0
48,48,1,1,0
49,49,1,1,0
50,50,1,1,0
51,51,1,1,0
52,52,1,1,0
53,53,1,1,0
54,54,1,1,0
55,55,1,1,0
56,56,1,1,0
57,57,1,1,0
58,58,1,1,0
59,59,1,1,0
60,60,1,1,0
61,61,1,1,0
62,62,1,1,0
63,63,1,1,0
64,64,1,1,0
65,65,1,1,0
66,66,1,1,0
67,67,1,1,0
68,68,1,1,0
69,69,1,1,0
70,70,1,1,0
71,71,1,1,0
72,72,1,1,0
73,73,1,1,0
74,74,1,1,0
75,75,1,1,0
76,76,1,1,0
77,77,1,1,0
78,78,1,1,0
79,79,1,1,0
80,80,1,1,0
81,81,1,1,0
82,82,1,1,0
83,83,1,1,0
84,84,1,1,0
85,85,1,1,0
86,86,1,1,0
87,87,1,1,0
88,88,1,1,0
89,89,1,1,1
90,90,1,1,1
91,91,1,1,1
92,92,1,1,1
93,93,1,1,1
94,94,1,1,1
95,95,1,1,1
96,96,1,1,1
97,97,1,1,1
98,98,1,1,1
99,99,1,1,1
100,100,1,1,1
101,101,1,1,1
102,102,1,1,1
103,103,1,1,1
104,104,1,1,1
105,105,1,1,1
106,106,1,1,1
107,107,1,1,1
108,108,1,1,1
109,109,1,1,1
110,110,1,1,1
111,111,1,1,1
112,112,1,1,1
113,113,1,1,1
114,114,1,1,1
115,115,1,1,1
116,116,1,1,1
117,117,1,1,1
118,118,1,1,1
119,119,1,1,1
120,120,1,1,1
121,121,1,1,1
122,122,1,1,1
123,123,1,1,1
124,124,1,1,1
125,125,1,1,1
126,126,1,1,1
127,127,1,1,1
128,128,1,1,1
129,129,1,1,1
130,130,1,1,1
131,131,1,1,1
132,132,1,1,1
133,133,1,1,1
134,134,1,1,1
135,135,1,1,1
136,136,1,1,1
137,137,1,1,1
138,138,1,1,1
139,139,1,1,1
140,140,1,1,1
141,141,1,1,1
142,142,1,1,1
143,143,1,1,1
144,144,1,1,1
145,145,1,1,1
146,146,1,1,1
147,147,1,1,1
148,148,1,1,1
149,149,1,1,1
150,150,1,1,1
151,151,1,1,1
152,152,1,1,1
153,153,1,1,1
154,154,1,1,1
155,155,1,1,1
156,156,1,1,1
157,157,1,1,1
158,158,1,1,1
159,159,1,1,1
160,160,1,1,1
161,161,1,1,1
162,162,1,1,1
163,163,1,1,1
164,164,1,1,1
165,165,1,1,1
166,166,1,1,1
167,167,1,1,1
168,168,1,1,1
169,169,1,1,1
170,170,1,1,1
171,171,1,1,1
172,172,1,1,0
173,173,1,1,0
174,174,1,1,0
175,175,1,1,0
176,176,1,1,0
177,177,1,1,0
178,178,1,1,0
179,179,1,1,0
180,180,1,1,0
181,181,1,1,0
182,182,1,1,0
183,183,1,1,0
184,184,1,1,0
185,185,1,1,0
186,186,1,1,0
187,187,1,1,0
188,188,1,1,0
189,189,1,1,0
190,190,1,1,0
191,191,1,1,0
192,192,1,1,0
193,193,1,1,0
194,194,1,1,0
195,195,1,1,0
196,196,1,1,0
197,197,1,1,0
198,198,1,1,0
199,199,1,1,0
200,200,1,1,0
201,201,1,1,0
202,202,1,1,0
203,203,1,1,0
204,204,1,1,0
205,205,1,1,0
206,206,1,1,0
207,207,1,1,0
208,208,1,1,0
209,209,1,1,0
210,210,1,1,0
211,211,1,1,0
212,212,1,1,0
213,213,1,1,0
214,214,1,1,0
215,215,1,1,0
216,216,1,1,0
217,217,1,1,0
218,218,1,1,0
219,219,1,1,0
220,220,1,1,0
221,221,1,1,0
222,222,1,1,0
223,223,1,1,0
224,224,1,1,0
225,225,1,1,0
226,226,1,1,0
227,227,1,1,0
228,228,1,1,0
229,229,1,1,0
230,230,1,1,0
231,231,1,1,0
232,232,1,1,0
233,233,1,1,0
234,234,1,1,0
235,235,1,1,0
236,236,1,1,0
237,237,1,1,0
238,238,1,1,0
239,239,1,1,0
240,240,1,1,0
241,241,1,1,0
242,242,1,1,0
243,243,1,1,0
244,244,1,1,0
245,245,1,1,0
246,246,1,1,0
247,247,1,1,0
248,248,1,1,0
249,249,1,1,0
250,250,1,1,0
251,251,1,1,0
252,252,1,1,0
253,253,1,1,0
254,254,1,1,0
255,255,1,1,0
256,256,1,1,0
257,257,1,1,0
258,258,1,1,0
259,259,1,1,0
260,260,1,1,0
261,261,1,1,0
262,262,1,1,0
263,263,1,1,0
264,264,1,1,0
265,265,1,1,0
266,266,1,1,0
267,267,1,1,0
268,268,1,1,0
269,269,1,1,0
270,270,1,1,0
271,271,1,1,0
272,272,1,1,0
273,273,1,1,0
274,274,1,1,0
275,275,1,1,0
276,276,1,1,0
277,277,1,1,0
278,278,1,1,0
279,279,1,1,0
280,280,1,1,0
281,281,1,1,0
282,282,1,1,0
283,283,1,1,0
284,284,1,1,0
285,285,1,1,0
286,286,1,1,0
287,287,1,1,0
288,288,1,1,0
289,1,2,1,0
290,2,2,1,0
291,3,2,1,0
292,4,2,1,0
293,5,2,1,0
294,6,2,1,0
295,7,2,1,0
296,8,2,1,0
297,9,2,1,0
298,10,2,1,0
299,11,2,1,0
300,12,2,1,0
301,13,2,1,0
302,14,2,1,0
303,15,2,1,0
304,16,2,1,0
305,17,2,1,0
306,18,2,1,0
307,19,2,1,0
308,20,2,1,0
309,21,2,1,0
310,22,2,1,0
311,23,2,1,0
312,24,2,1,0
313,25,2,1,0
314,26,2,1,0
315,27,2,1,0
316,28,2,1,0
317,29,2,1,0
318,30,2,1,0
319,31,2,1,0
320,32,2,1,0
321,33,2,1,0
322,34,2,1,0
323,35,2,1,0
324,36,2,1,0
325,37,2,1,0
326,38,2,1,0
327,39,2,1,0
328,40,2,1,0
329,41,2,1,0
330,42,2,1,0
331,43,2,1,0
332,44,2,1,0
333,45,2,1,0
334,46,2,1,0
335,47,2,1,0
336,48,2,1,0
337,49,2,1,0
338,50,2,1,0
339,51,2,1,0
340,52,2,1,0
341,53,2,1,0
342,54,2,1,0
343,55,2,1,0
344,56,2,1,0
345,57,2,1,0
346,58,2,1,0
347,59,2,1,0
348,60,2,1,0
349,61,2,1,0
350,62,2,1,0
351,63,2,1,0
352,64,2,1,0
353,65,2,1,0
354,66,2,1,0
355,67,2,1,0
356,68,2,1,0
357,69,2,1,0
358,70,2,1,0
359,71,2,1,0
360,72,2,1,0
361,73,2,1,0
362,74,2,1,0
363,75,2,1,0
364,76,2,1,0
365,77,2,1,0
366,78,2,1,0
367,79,2,1,0
368,80,2,1,0
369,81,2,1,0
370,82,2,1,0
371,83,2,1,0
372,84,2,1,0
373,85,2,1,0
374,86,2,1,0
375,87,2,1,0
376,88,2,1,0
377,89,2,1,0
378,90,2,1,0
379,91,2,1,0
380,92,2,1,0
381,93,2,1,0
382,94,2,1,0
383,95,2,1,0
384,96,2,1,0
385,97,2,1,0
386,98,2,1,0
387,99,2,1,0
388,100,2,1,1
389,101,2,1,1
390,102,2,1,1
391,103,2,1,1
392,104,2,1,1
393,105,2,1,1
394,106,2,1,1
395,107,2,1,1
396,108,2,1,1
397,109,2,1,1
398,110,2,1,1
399,111,2,1,1
400,112,2,1,1
401,113,2,1,1
402,114,2,1,1
403,115,2,1,1
404,116,2,1,1
405,117,2,1,1
406,118,2,1,1
407,119,2,1,1
408,120,2,1,1
409,121,2,1,1
410,122,2,1,1
411,123,2,1,1
412,124,2,1,1
413,125,2,1,1
414,126,2,1,1
415,127,2,1,1
416,128,2,1,1
417,129,2,1,1
418,130,2,1,1
419,131,2,1,1
420,132,2,1,1
421,133,2,1,1
422,134,2,1,1
423,135,2,1,1
424,136,2,1,1
425,137,2,1,1
426,138,2,1,1
427,139,2,1,1
428,140,2,1,1
429,141,2,1,1
430,142,2,1,1
431,143,2,1,1
432,144,2,1,1
433,145,2,1,1
434,146,2,1,1
435,147,2,1,1
436,148,2,1,1
437,149,2,1,1
438,150,2,1,1
439,151,2,1,1
440,152,2,1,1
441,153,2,1,1
442,154,2,1,1
443,155,2,1,1
444,156,2,1,1
445,157,2,1,1
446,158,2,1,1
447,159,2,1,1
448,160,2,1,1
449,161,2,1,1
450,162,2,1,1
451,163,2,1,1
452,164,2,1,1
453,165,2,1,1
454,166,2,1,1
455,167,2,1,1
456,168,2,1,1
457,169,2,1,1
458,170,2,1,1
459,171,2,1,1
460,172,2,1,0
461,173,2,1,0
462,174,2,1,0
463,175,2,1,0
464,176,2,1,0
465,177,2,1,0
466,178,2,1,0
467,179,2,1,0
468,180,2,1,0
469,181,2,1,0
470,182,2,1,0
471,183,2,1,0
472,184,2,1,0
473,185,2,1,0
474,186,2,1,0
475,187,2,1,0
476,188,2,1,0
477,189,2,1,0
478,190,2,1,0
479,191,2,1,0
480,192,2,1,0
481,193,2,1,0
482,194,2,1,0
483,195,2,1,0
484,196,2,1,0
485,197,2,1,0
486,198,2,1,0
487,199,2,1,0
488,200,2,1,0
489,201,2,1,0
490,202,2,1,0
491,203,2,1,0
492,204,2,1,0
493,205,2,1,0
494,206,2,1,0
495,207,2,1,0
496,208,2,1,0
497,209,2,1,0
498,210,2,1,0
499,211,2,1,0
500,212,2,1,0
501,213,2,1,0
502,214,2,1,0
503,215,2,1,0
504,216,2,1,0
505,217,2,1,0
506,218,2,1,0
507,219,2,1,0
508,220,2,1,0
509,221,2,1,0
510,222,2,1,0
511,223,2,1,0
512,224,2,1,0
513,225,2,1,0
514,226,2,1,0
515,227,2,1,0
516,228,2,1,0
517,229,2,1,0
518,230,2,1,0
519,231,2,1,0
520,232,2,1,0
521,233,2,1,0
522,234,2,1,0
523,235,2,1,0
524,236,2,1,0
525,237,2,1,0
526,238,2,1,0
527,239,2,1,0
528,240,2,1,0
529,241,2,1,0
530,242,2,1,0
531,243,2,1,0
532,244,2,1,0
533,245,2,1,0
534,246,2,1,0
535,247,2,1,0
536,248,2,1,0
537,249,2,1,0
538,250,2,1,0
539,251,2,1,0
540,252,2,1,0
541,253,2,1,0
542,254,2,1,0
543,255,2,1,0
544,256,2,1,0
545,257,2,1,0
546,258,2,1,0
547,259,2,1,0
548,260,2,1,0
549,261,2,1,0
550,262,2,1,0
551,263,2,1,0
552,264,2,1,0
553,265,2,1,0
554,266,2,1,0
555,267,2,1,0
556,268,2,1,0
557,269,2,1,0
558,270,2,1,0
559,271,2,1,0
560,272,2,1,0
561,273,2,1,0
562,274,2,1,0
563,275,2,1,0
564,276,2,1,0
565,277,2,1,0
566,278,2,1,0
567,279,2,1,0
568,280,2,1,0
569,281,2,1,0
570,282,2,1,0
571,283,2,1,0
572,284,2,1,0
573,285,2,1,0
574,286,2,1,0
575,287,2,1,0
576,288,2,1,0
577,1,3,1,0
578,2,3,1,0
579,3,3,1,0
580,4,3,1,0
581,5,3,1,0
582,6,3,1,0
583,7,3,1,0
584,8,3,1,0
585,9,3,1,0
586,10,3,1,0
587,11,3,1,0
588,12,3,1,0
589,13,3,1,0
590,14,3,1,0
591,15,3,1,0
592,16,3,1,0
593,17,3,1,0
594,18,3,1,0
595,19,3,1,0
596,20,3,1,0
597,21,3,1,0
598,22,3,1,0
599,23,3,1,0
600,24,3,1,0
601,25,3,1,0
602,26,3,1,0
603,27,3,1,0
604,28,3,1,0
605,29,3,1,0
606,30,3,1,0
607,31,3,1,0
608,32,3,1,0
609,33,3,1,0
610,34,3,1,0
611,35,3,1,0
612,36,3,1,0
613,37,3,1,0
614,38,3,1,0
615,39,3,1,0
616,40,3,1,0
617,41,3,1,0
618,42,3,1,0
619,43,3,1,0
620,44,3,1,0
621,45,3,1,0
622,46,3,1,0
623,47,3,1,0
624,48,3,1,0
625,49,3,1,0
626,50,3,1,0
627,51,3,1,0
628,52,3,1,0
629,53,3,1,0
630,54,3,1,0
631,55,3,1,0
632,56,3,1,0
633,57,3,1,0
634,58,3,1,0
635,59,3,1,0
636,60,3,1,0
637,61,3,1,0
638,62,3,1,0
639,63,3,1,0
640,64,3,1,0
641,65,3,1,0
642,66,3,1,0
643,67,3,1,0
644,68,3,1,0
645,69,3,1,0
646,70,3,1,0
647,71,3,1,0
648,72,3,1,0
649,73,3,1,0
650,74,3,1,0
651,75,3,1,0
652,76,3,1,0
653,77,3,1,0
654,78,3,1,0
655,79,3,1,0
656,80,3,1,0
657,81,3,1,0
658,82,3,1,0
659,83,3,1,0
660,84,3,1,0
661,85,3,1,0
662,86,3,1,0
663,87,3,1,0
664,88,3,1,0
665,89,3,1,0
666,90,3,1,0
667,91,3,1,0
668,92,3,1,0
669,93,3,1,0
670,94,3,1,0
671,95,3,1,0
672,96,3,1,0
673,97,3,1,0
674,98,3,1,0
675,99,3,1,0
676,100,3,1,0
677,101,3,1,0
678,102,3,1,0
679,103,3,1,0
680,104,3,1,0
681,105,3,1,0
682,106,3,1,0
683,107,3,1,0
684,108,3,1,0
685,109,3,1,0
686,110,3,1,0
687,111,3,1,0
688,112,3,1,0
689,113,3,1,0
690,114,3,1,0
691,115,3,1,0
692,116,3,1,0
693,117,3,1,0
694,118,3,1,0
695,119,3,1,0
696,120,3,1,0
697,121,3,1,0
698,122,3,1,0
699,123,3,1,0
700,124,3,1,0
701,125,3,1,0
702,126,3,1,0
703,127,3,1,0
704,128,3,1,0
705,129,3,1,0
706,130,3,1,0
707,131,3,1,0
708,132,3,1,0
709,133,3,1,0
710,134,3,1,0
711,135,3,1,0
712,136,3,1,0
713,137,3,1,0
714,138,3,1,0
715,139,3,1,0
716,140,3,1,0
717,141,3,1,0
718,142,3,1,0
719,143,3,1,0
720,144,3,1,0
