waktu,hari,idrelay,status
0:00:00-0:05:00,senin,relay1,off
0:05:00-0:10:00,senin,relay1,off
0:10:00-0:15:00,senin,relay1,off
0:15:00-0:20:00,senin,relay1,off
0:20:00-0:25:00,senin,relay1,off
0:25:00-0:30:00,senin,relay1,off
0:30:00-0:35:00,senin,relay1,off
0:35:00-0:40:00,senin,relay1,off
0:40:00-0:45:00,senin,relay1,off
0:45:00-0:50:00,senin,relay1,off
0:50:00-0:55:00,senin,relay1,off
0:55:00-1:00:00,senin,relay1,off
1:00:00-1:05:00,senin,relay1,off
1:05:00-1:10:00,senin,relay1,off
1:10:00-1:15:00,senin,relay1,off
1:15:00-1:20:00,senin,relay1,off
1:20:00-1:25:00,senin,relay1,off
1:25:00-1:30:00,senin,relay1,off
1:30:00-1:35:00,senin,relay1,off
1:35:00-1:40:00,senin,relay1,off
1:40:00-1:45:00,senin,relay1,off
1:45:00-1:50:00,senin,relay1,off
1:50:00-1:55:00,senin,relay1,off
1:55:00-2:00:00,senin,relay1,off
2:00:00-2:05:00,senin,relay1,off
2:05:00-2:10:00,senin,relay1,off
2:10:00-2:15:00,senin,relay1,off
2:15:00-2:20:00,senin,relay1,off
2:20:00-2:25:00,senin,relay1,off
2:25:00-2:30:00,senin,relay1,off
2:30:00-2:35:00,senin,relay1,off
2:35:00-2:40:00,senin,relay1,off
2:40:00-2:45:00,senin,relay1,off
2:45:00-2:50:00,senin,relay1,off
2:50:00-2:55:00,senin,relay1,off
2:55:00-3:00:00,senin,relay1,off
3:00:00-3:05:00,senin,relay1,off
3:05:00-3:10:00,senin,relay1,off
3:10:00-3:15:00,senin,relay1,off
3:15:00-3:20:00,senin,relay1,off
3:20:00-3:25:00,senin,relay1,off
3:25:00-3:30:00,senin,relay1,off
3:30:00-3:35:00,senin,relay1,off
3:35:00-3:40:00,senin,relay1,off
3:40:00-3:45:00,senin,relay1,off
3:45:00-3:50:00,senin,relay1,off
3:50:00-3:55:00,senin,relay1,off
3:55:00-4:00:00,senin,relay1,off
4:00:00-4:05:00,senin,relay1,off
4:05:00-4:10:00,senin,relay1,off
4:10:00-4:15:00,senin,relay1,off
4:15:00-4:20:00,senin,relay1,off
4:20:00-4:25:00,senin,relay1,off
4:25:00-4:30:00,senin,relay1,off
4:30:00-4:35:00,senin,relay1,off
4:35:00-4:40:00,senin,relay1,off
4:40:00-4:45:00,senin,relay1,off
4:45:00-4:50:00,senin,relay1,off
4:50:00-4:55:00,senin,relay1,off
4:55:00-5:00:00,senin,relay1,off
5:00:00-5:05:00,senin,relay1,off
5:05:00-5:10:00,senin,relay1,off
5:10:00-5:15:00,senin,relay1,off
5:15:00-5:20:00,senin,relay1,off
5:20:00-5:25:00,senin,relay1,off
5:25:00-5:30:00,senin,relay1,off
5:30:00-5:35:00,senin,relay1,off
5:35:00-5:40:00,senin,relay1,off
5:40:00-5:45:00,senin,relay1,off
5:45:00-5:50:00,senin,relay1,off
5:50:00-5:55:00,senin,relay1,off
5:55:00-6:00:00,senin,relay1,off
6:00:00-6:05:00,senin,relay1,off
6:05:00-6:10:00,senin,relay1,off
6:10:00-6:15:00,senin,relay1,off
6:15:00-6:20:00,senin,relay1,off
6:20:00-6:25:00,senin,relay1,off
6:25:00-6:30:00,senin,relay1,off
6:30:00-6:35:00,senin,relay1,off
6:35:00-6:40:00,senin,relay1,off
6:40:00-6:45:00,senin,relay1,off
6:45:00-6:50:00,senin,relay1,off
6:50:00-6:55:00,senin,relay1,off
6:55:00-7:00:00,senin,relay1,off
7:00:00-7:05:00,senin,relay1,off
7:05:00-7:10:00,senin,relay1,off
7:10:00-7:15:00,senin,relay1,off
7:15:00-7:20:00,senin,relay1,off
